customerNumber,quantityOrdered,priceEach,status,comments,productName,orderDate,shippedDate,comments
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-03-15,2005-03-19,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-05-03,2005-05-05,NULL
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-05-13,2005-05-19,"Customer doesn't like the colors and precision of the models."
141,41,111.39,Shipped,NULL,"1957 Chevy Pickup",2005-05-31,NULL,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-01-31,2003-02-01,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-06-06,2003-06-11,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-06-27,2003-07-03,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-09-28,2003-10-03,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-10-08,2003-10-11,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-11-19,2003-11-20,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-12-02,2003-12-07,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2003-12-03,2003-12-07," I need all the information I can get on our competitors."
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-01-16,2004-01-18,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-04-29,2004-05-04,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-05-05,2004-05-06,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-06-24,NULL,"This customer found a better offer from one of our competitors. Will call back to renegotiate."
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-08-09,2004-08-15,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches"
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-10-16,2004-10-20,"Difficult to negotiate with customer. We need more marketing materials"
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-12-02,2004-12-05,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-12-07,2004-12-13,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2004-12-10,2004-12-16,"Customer requested that DHL is used for this shipping"
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-02-10,2005-02-11,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-02-10,2005-02-11,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-02-16,2005-02-18,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-02-22,2005-02-25,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-03-01,2005-03-06,"Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models."
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-03-15,2005-03-19,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-05-03,2005-05-05,NULL
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-05-13,2005-05-19,"Customer doesn't like the colors and precision of the models."
141,24,135.90,Shipped,NULL,"1998 Chrysler Plymouth Prowler",2005-05-31,NULL,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-01-31,2003-02-01,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-06-06,2003-06-11,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-06-27,2003-07-03,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-09-28,2003-10-03,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-10-08,2003-10-11,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-11-19,2003-11-20,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-12-02,2003-12-07,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2003-12-03,2003-12-07," I need all the information I can get on our competitors."
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-01-16,2004-01-18,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-04-29,2004-05-04,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-05-05,2004-05-06,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-06-24,NULL,"This customer found a better offer from one of our competitors. Will call back to renegotiate."
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-08-09,2004-08-15,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches"
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-10-16,2004-10-20,"Difficult to negotiate with customer. We need more marketing materials"
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-12-02,2004-12-05,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-12-07,2004-12-13,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2004-12-10,2004-12-16,"Customer requested that DHL is used for this shipping"
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-02-10,2005-02-11,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-02-10,2005-02-11,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-02-16,2005-02-18,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-02-22,2005-02-25,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-03-01,2005-03-06,"Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models."
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-03-15,2005-03-19,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-05-03,2005-05-05,NULL
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-05-13,2005-05-19,"Customer doesn't like the colors and precision of the models."
141,29,122.73,Shipped,NULL,"1964 Mercedes Tour Bus",2005-05-31,NULL,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-01-31,2003-02-01,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-06-06,2003-06-11,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-06-27,2003-07-03,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-09-28,2003-10-03,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-10-08,2003-10-11,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-11-19,2003-11-20,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-12-02,2003-12-07,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2003-12-03,2003-12-07," I need all the information I can get on our competitors."
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-01-16,2004-01-18,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-04-29,2004-05-04,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-05-05,2004-05-06,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-06-24,NULL,"This customer found a better offer from one of our competitors. Will call back to renegotiate."
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-08-09,2004-08-15,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches"
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-10-16,2004-10-20,"Difficult to negotiate with customer. We need more marketing materials"
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-12-02,2004-12-05,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-12-07,2004-12-13,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2004-12-10,2004-12-16,"Customer requested that DHL is used for this shipping"
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-02-10,2005-02-11,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-02-10,2005-02-11,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-02-16,2005-02-18,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-02-22,2005-02-25,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-03-01,2005-03-06,"Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models."
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-03-15,2005-03-19,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-05-03,2005-05-05,NULL
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-05-13,2005-05-19,"Customer doesn't like the colors and precision of the models."
141,23,165.95,Shipped,NULL,"1992 Ferrari 360 Spider red",2005-05-31,NULL,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-01-31,2003-02-01,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-06-06,2003-06-11,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-06-27,2003-07-03,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-09-28,2003-10-03,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-10-08,2003-10-11,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-11-19,2003-11-20,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-12-02,2003-12-07,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2003-12-03,2003-12-07," I need all the information I can get on our competitors."
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-01-16,2004-01-18,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-04-29,2004-05-04,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-05-05,2004-05-06,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-06-24,NULL,"This customer found a better offer from one of our competitors. Will call back to renegotiate."
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-08-09,2004-08-15,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches"
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-10-16,2004-10-20,"Difficult to negotiate with customer. We need more marketing materials"
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-12-02,2004-12-05,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-12-07,2004-12-13,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2004-12-10,2004-12-16,"Customer requested that DHL is used for this shipping"
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2005-02-10,2005-02-11,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2005-02-10,2005-02-11,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2005-02-16,2005-02-18,NULL
141,38,119.20,Shipped,NULL,"1970 Triumph Spitfire",2005-02-22,2005-02-25,NULL
