customerName,customerNumber,phone,city,country,creditLimit,RepfullName,RepLocation
"Vida Sport, Ltd",298,0897-034555,Genève,Switzerland,141300.00,"Martin Gerard",France
"CAF Imports",344,"+34 913 728 555",Madrid,Spain,59600.00,"Martin Gerard",France
"Precious Collectables",376,0452-076555,Bern,Switzerland,0.00,"Martin Gerard",France
"Corrida Auto Replicas, Ltd",458,"(91) 555 22 82",Madrid,Spain,104600.00,"Martin Gerard",France
"Iberia Gift Imports, Corp.",484,"(95) 555 82 82",Sevilla,Spain,65700.00,"Martin Gerard",France
"Dragon Souveniers, Ltd.",148,"+65 221 7555",Singapore,Singapore,103800.00,"Mami Nishi",Japan
"Osaka Souveniers Co.",177,"+81 06 6342 5555",Kita-ku,Japan,81200.00,"Mami Nishi",Japan
"King Kong Collectables, Co.",211,"+852 2251 1555","Central Hong Kong","Hong Kong",58600.00,"Mami Nishi",Japan
"Cruz & Sons Co.",385,"+63 2 555 3587","Makati City",Philippines,81500.00,"Mami Nishi",Japan
"Tokyo Collectables, Ltd",398,"+81 3 3584 0555",Minato-ku,Japan,94400.00,"Mami Nishi",Japan
"Australian Collectors, Co.",114,"03 9520 4555",Melbourne,Australia,117300.00,"Andy Fixter",Australia
"Anna's Decorations, Ltd",276,"02 9936 8555","North Sydney",Australia,107800.00,"Andy Fixter",Australia
"Souveniers And Things Co.",282,"+61 2 9495 8555",Chatswood,Australia,93300.00,"Andy Fixter",Australia
"Australian Gift Network, Co",333,61-7-3844-6555,"South Brisbane",Australia,51600.00,"Andy Fixter",Australia
"Australian Collectables, Ltd",471,61-9-3844-6555,"Glen Waverly",Australia,60300.00,"Andy Fixter",Australia
"Handji Gifts& Co",166,"+65 224 1555",Singapore,Singapore,97900.00,"Peter Marsh",Australia
"Down Under Souveniers, Inc",323,"+64 9 312 5555","Auckland  ","New Zealand",88000.00,"Peter Marsh",Australia
GiftsForHim.com,357,64-9-3763555,Auckland,"New Zealand",77700.00,"Peter Marsh",Australia
"Extreme Desk Decorations, Ltd",412,"04 499 9555",Wellington,"New Zealand",86800.00,"Peter Marsh",Australia
"Kelly's Gift Shop",496,"+64 9 5555500","Auckland  ","New Zealand",110000.00,"Peter Marsh",Australia
"Toys of Finland, Co.",186,"90-224 8555",Helsinki,Finland,96500.00,"Larry Bott",UK
"AV Stores, Co.",187,"(171) 555-1555",Manchester,UK,136800.00,"Larry Bott",UK
"UK Collectables, Ltd.",201,"(171) 555-2282",Liverpool,UK,92700.00,"Larry Bott",UK
giftsbymail.co.uk,240,"(198) 555-8888",Cowes,UK,93900.00,"Larry Bott",UK
"Oulu Toy Supplies, Inc.",311,981-443655,Oulu,Finland,90500.00,"Larry Bott",UK
"Stylish Desk Decors, Co.",324,"(171) 555-0297",London,UK,77000.00,"Larry Bott",UK
"Suominen Souveniers",334,"+358 9 8045 555",Espoo,Finland,98800.00,"Larry Bott",UK
"Double Decker Gift Stores, Ltd",489,"(171) 555-7555",London,UK,43300.00,"Larry Bott",UK
"Baane Mini Imports",121,"07-98 9555",Stavern,Norway,81700.00,"Barry Jones",UK
"Blauer See Auto, Co.",128,"+49 69 66 90 2555",Frankfurt,Germany,59700.00,"Barry Jones",UK
"Volvo Model Replicas, Co",144,"0921-12 3555",Luleå,Sweden,53100.00,"Barry Jones",UK
"Herkku Gifts",167,"+47 2267 3215",Bergen,"Norway  ",96800.00,"Barry Jones",UK
"Clover Collections, Co.",189,"+353 1862 1555",Dublin,Ireland,69400.00,"Barry Jones",UK
"Toms Spezialitäten, Ltd",259,0221-5554327,Köln,Germany,120400.00,"Barry Jones",UK
"Norway Gifts By Mail, Co.",299,"+47 2212 1555",Oslo,"Norway  ",95100.00,"Barry Jones",UK
"Bavarian Collectables Imports, Co.",415," +49 89 61 08 9555",Munich,Germany,77000.00,"Barry Jones",UK
"Scandinavian Gift Ideas",448,"0695-34 6555",Bräcke,Sweden,116400.00,"Barry Jones",UK
